Title,Authors,Published,DOI,Published_In,Referenced_By
Ask the Mutants: Mutating Faulty Programs for Fault Localization,"Seokhyeon, Yunho, Moonzoo, Shin",2014-3,10.1109/ICST.2014.28,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",
Aspect language features for concern coverage profiling,"Rajan, H. and Sullivan, K.",2005-03,,Proceedings of the 4th international conference on Aspect-oriented software development  - AOSD '05,Xie2006
Assertion-Driven Development: Assessing the Quality of Contracts Using Meta-Mutations,"Knauth, T. and Fetzer, C. and Felber, P.",2009,,"2009 International Conference on Software Testing, Verification, and Validation Workshops",Zhi2013
Assertions are strongly correlated with test suite effectiveness,"Yucheng, Ali",2015-8-30,10.1145/2786805.2786858,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,
Assessing Incremental Testing Practices and Their Impact on Project Outcomes,"Ayaan M., Clifford A., Stephen H., Francisco",2019-2-22,10.1145/3287324.3287366,Proceedings of the 50th ACM Technical Symposium on Computer Science Education,
Assessing Oracle Quality with Checked Coverage,"David, Andreas",2011-3,10.1109/ICST.2011.32,"2011 Fourth IEEE International Conference on Software Testing, Verification and Validation",
Assessing Test Data Adequacy through Program Inference,Elaine J.,1983-10,10.1145/69575.357231,ACM Transactions on Programming Languages and Systems,
Assessing and generating test sets in terms of behavioural adequacy,"Gordon, Neil",2015-3-20,10.1002/stvr.1575,"Software Testing, Verification and Reliability",
Assessing oracle quality with checked coverage,"Schuler, D. and Zeller, A.",2011,,"2011 Fourth IEEE International Conference on Software Testing, Verification and Validation",Mirzaaghaei2014
Assessing test set adequacy for object oriented programs using class mutation,"Kim, S. and Clark, J. and McDermid, J.",1999,,,Tengeri2016
Assessing the Influence of Multiple Test Case Selection on Mutation Experiments,"Marcio E., Jeff",2014-3,10.1109/ICSTW.2014.22,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",
"Assessing the Test Suite of a Large System Based on Code Coverage, Efficiency and Uniqueness","Laszlo, Ferenc, David, Arpad",2016-3,10.1109/SANER.2016.69,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",
Assessing the test suite of a large scale system based on code coverage and derived metrics,"L. Vidács, F. Horváth, D. Tengeri and Beszédes, Á.",2016-03,,,Tengeri2016
"Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments","Samar, Lionel C., Yvan, Massimiliano",2011-3,10.1109/TSE.2010.32,IEEE Transactions on Software Engineering,
Augmenting Automatically Generated Unit-Test Suites,"Xie, T.",2006,,,Zhi2013
Automated Detection of Test Fixture Strategies and Smells,"Michaela, Arie, Margaret-Anne",2013-3,10.1109/ICST.2013.45,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation",
Automated Test Data Generation for Coverage: Haven't We Solved This Problem Yet?,"Kiran, Phil, Mark",2009,10.1109/TAICPART.2009.15,2009 Testing: Academic and Industrial Conference - Practice and Research Techniques,
Automated documentation inference to explain failed tests,"Zhang, S. and Zhang, C. and Ernst, M.D.",2011,,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),Zhang2013
"Automated oracle creation support, or: How i learned to stop worrying about fault propagation and love mutation testing","Staats, M. and Gay, G. and Heimdahl, M.P.",2012,,2012 34th International Conference on Software Engineering (ICSE),Zhang2013
Automated software test data generation,B.,1990,10.1109/32.57624,IEEE Transactions on Software Engineering,
Automated test generation for access control policies,"Martin, E.",2006,,"Companion to the 21st ACM SIGPLAN conference on Object-oriented programming systems, languages, and applications  - OOPSLA '06",Daoudagh2015
Automated test generation for access control policies via change-impact analysis,"Martin, E. and Xie, T.",2007-05,,Third International Workshop on Software Engineering for Secure Systems (SESS'07: ICSE Workshops 2007),Daoudagh2015
Automated test generation from a behavioral model,"Clarke, J.M.",1998,,,Kracht2014
Automated testing for sql injection vulnerabilities: an input mutation approach,"Appelt, D. and Nguyen, C.D. and Briand, L.C. and Alshahwan, N.",2014,,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,EscobarVelasquez2019
Automated testing of extensible access control markup language-based access control systems,"Bertolino, A. and Daoudagh, S. and Lonetti, F. and Marchetti, E. and Schilders, L.",2013,,IET Software,Daoudagh2015
Automated unit test generation during software development: A controlled experiment and think-aloud observations,"Rojas, J.M. and Fraser, G. and Arcuri, A.",2015,,Proceedings of the 2015 International Symposium on Software Testing and Analysis,Wang2017
Automatic Generation of Software Test Cases From Formal Specifications,"Meudec, Christophe",1998,,,Harder2003
Automatic Mutation Test Case Generation via Dynamic Symbolic Execution,"Mike, Nicos",2010-11,10.1109/ISSRE.2010.38,2010 IEEE 21st International Symposium on Software Reliability Engineering,
Automatic Selection of Test Cases for Regression Testing,"Cláudio, Flávia, Alexandre, Eliot",2016,10.1145/2993288.2993299,Proceedings of the 1st Brazilian Symposium on Systematic and Automated Software Testing - SAST,
Automatic Test Case Generation and Optimization Based on Mutation Testing,"Yunqi, Ya, Haiyang, Nimako, Yong",2019-7,10.1109/QRS-C.2019.00105,"2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)",
Automatic Test-case Generation from Formal Models of Software,"Rayadurgam, S.",2003-11,,,Rajan2008
Automatic XACML Requests Generation for Policy Testing,"Bertolino, A. and Daoudagh, S. and Lonetti, F. and Marchetti, E.",2012-04,,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",Daoudagh2015
Automatic XACML requests generation for policy testing,"Bertolino, A. and Daoudagh, S. and Lonetti, F. and Marchetti, E.",2012,,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",Daoudagh2015
Automatic detection of performance deviations in the load testing of large scale systems,"Malik, H. and Hemmati, H. and Hassan, A.E.",2013,,2013 35th International Conference on Software Engineering (ICSE),Bruenink2018
Automatic generation of test scripts from formal test specifications,"Balcer, Marc J. and Hasling, William M. and Ostrand, Thomas J.",1989-12,,"Proceedings of the ACM SIGSOFT '89 third symposium on Software testing, analysis, and verification  - TAV3",Harder2003
Automatic mutation test case generation via dynamic symbolic execution,"Papadakis, M. and Malevris, N.",2010,,2010 IEEE 21st International Symposium on Software Reliability Engineering,Just2014a
Automatic mutation test input data generation via ant colony,"Kamel, Salah, Giuliano",2007,10.1145/1276958.1277172,Proceedings of the 9th annual conference on Genetic and evolutionary computation  - GECCO '07,
Automatic test case generation based on genetic algorithm and mutation analysis,"Hirohide, Akihisa",2012-11,10.1109/ICCSCE.2012.6487127,"2012 IEEE International Conference on Control System, Computing and Engineering",
Automatic test generation for mutation testing on database applications,"Pan, K. and Wu, X. and Xie, T.",,,2013 8th International Workshop on Automation of Software Test (AST),Zhang2013
Automatically Detecting Equivalent Mutants and Infeasible Paths,"Offutt, A.J. and Pan, J.",1997,,"Software Testing, Verification and Reliability",RealesMateo2013
Automatically Finding Hidden Industrial Criteria used in Test Selection,"Cláudio, Alexandre, Eliot",2016-7-1,10.18293/SEKE2016-198,Proceedings of the 28th International Conference on Software Engineering and Knowledge Engineering,
Automatically detecting equivalent mutants and infeasible paths,"A. Jefferson, Jie",1997-9,10.1002/(SICI)1099-1689(199709)7:3<165::AID-STVR143>3.0.CO;2-U,"Software Testing, Verification and Reliability",
Automatically identifying focal methods under test in unit test cases,"Mohammad, Carlo, Konstantin",2015-9,10.1109/SCAM.2015.7335402,2015 IEEE 15th International Working Conference on Source Code Analysis and Manipulation (SCAM),
"Automatically performing weak mutation with the aid of symbolic execution, concolic testing and search-based testing","Mike, Nicos",2011-5-13,10.1007/s11219-011-9142-y,Software Quality Journal,
Automating coverage metrics for dynamic web applications,"Alalfi, M. and Cordy, J. and Dean, T.",2010,,2010 14th European Conference on Software Maintenance and Reengineering,Mirzaaghaei2014
Automating formal specification-based testing,"Donat, Michael R.",1997-04,,"TAPSOFT '97: Theory and Practice of Software Development, Lecture Notes in Computer Science",Harder2003
Automating the generating and sequencing of test cases from model-based specifications,"Dick, J. and Faivre, A.",1993,,"Lecture Notes in Computer Science, FME '93: Industrial-Strength Formal Methods",Harder2003
Bad Pairs in Software Testing,"Daniel, Chien, Gary, Brett, Kevin",2010,10.1007/978-3-642-15585-7_6,"Testing – Practice and Research Techniques, Lecture Notes in Computer Science",
Bad pairs in software testing,"Hoffman, D. and Chang, C. and Bazdell, G. and Stevens, B. and Yoo, K.",2010,,"Testing – Practice and Research Techniques, Lecture Notes in Computer Science",Felbinger2017
Balancing trade-offs in test-suite reduction,"August, Alex, Milos, Andrey, Darko",2014-11-11,10.1145/2635868.2635921,Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,
Basic mistakes in database testing,"Guz, S.",,,,McMinn2019
Better Predicate Testing,"Kaminski, G. and Amman, P. and Offut, A.J.",2011,,Proceeding of the 6th international workshop on Automation of software test - AST '11,RealesMateo2013
Better predicate testing,"Kaminski, G. and Ammann, P. and Offutt, J.",2011,,Proceeding of the 6th international workshop on Automation of software test - AST '11,Lindstroem2016
Beyond code coverage &#x2014; An approach for test suite assessment and improvement,"David, Arpad, Tamas, Laszlo, David, Tibor",2015-4,10.1109/ICSTW.2015.7107476,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Beyond code coverage - An approach for test suite assessment and improvement,"Tengeri, D. and Beszédes, Á. and Gergely, T. and Vidács, L. and Havas, D. and Gyimóthy, T.",2015,,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",Bowes2017
Beyond code coverage - an approach for test suite assessment and improvement,"Tengeri, D. and Beszédes, Á. and Gergely, T. and Vidács, L. and Havas, D. and Gyimóthy, T.",2015,,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",Tengeri2016
Beyond testing configurable systems: applying variational execution to automatic program repair and higher order mutation testing,"Chu-Pan, Jens, Christian",2018-10-26,10.1145/3236024.3264837,Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,
Black-Box Test Generation from Inferred Models,"Petros, Neil",2015-5,10.1109/RAISE.2015.11,2015 IEEE/ACM 4th International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering,
Boundary values and automated component testing,"Hoffman, Daniel and Strooper, Paul and White, Lee",1999-03,,"Software Testing, Verification and Reliability",Harder2003
Bridging the gap between the total and additional test-case prioritization strategies,"Zhang, L. and Hao, D. and Zhang, L. and Rothermel, G. and Mei, H.",2013,,2013 35th International Conference on Software Engineering (ICSE),Zhang2013
Bug hunt: Making early software testing lessons engaging and affordable,"Elbaum, S. and Person, S. and Dokulil, J. and Jorde, M.",2007,,29th International Conference on Software Engineering (ICSE'07),Rojas2017
CCmutator: A mutation generator for concurrency constructs in multithreaded C/C++ applications,"Markus, ",2013-11,10.1109/ASE.2013.6693142,2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),
CUTE and jCUTE: Concolic unit testing and explicit path model-checking tools,"Sen, K. and Agha, G.",2006-08,,,Robinson2011
Calibrated Mutation Testing,"Jaechang, David, Andreas",2011-3,10.1109/ICSTW.2011.57,"2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops",
Can testedness be effectively measured?,"Iftekhar, Rahul, Caius, Alex, Carlos",2016-11,10.1145/2950290.2950324,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,
Cause Reduction for Quick Testing,"Alex, Mohammed Amin, Chaoqiang, Yang, John",2014-3,10.1109/ICST.2014.37,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",
Chap. Problems of Mutation Testing and Higher Order Mutation Testing,"Nguyen, T.N. and Offutt, A.",2014,,"Advanced Computational Methods for Knowledge Engineering, Advances in Intelligent Systems and Computing",Parsai2016
Chapter six - mutation testing advances: An analysis and survey,"Papadakis, M. and Kintis, M. and Zhang, J. and Jia, Y. and Traon, Y.L. and Harman, M.",2019,,,GomezAbajo2020
Characterizing the Relative Significance of a Test Smell,"Rompaey, B.Van and Bois, B.Du and Demeyer, S.",2006,,2006 22nd IEEE International Conference on Software Maintenance,Bowes2017
Characterizing the relative significance of a test smell,"Rompaey, Van and Bart, Du Bois and Bart and Demeyer, Serge",2006,,2006 22nd IEEE International Conference on Software Maintenance,Gergely2018
Check ’n’ Crash: Combining static checking and testing,"Csallner, C. and Smaragdakis, Y.",2005-05,,"Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005.",Robinson2011
Checked coverage: an indicator for oracle quality,"David, Andreas",2013-5-8,10.1002/stvr.1497,"Software Testing, Verification and Reliability",
Classifying Test Suite Effectiveness via Model Inference and ROBBDs,"Felbinger, H. and Pill, I. and Wotawa, F.",2016,,"Tests and Proofs, Lecture Notes in Computer Science",Felbinger2017
Classifying generated white-box tests: an exploratory study,"Dávid, Zoltán",2019-5-17,10.1007/s11219-019-09446-5,Software Quality Journal,
Cleansing Test Suites from Coincidental Correctness to Enhance Fault-Localization,"Wes, Rawad Abou",2010,10.1109/ICST.2010.22,"2010 Third International Conference on Software Testing, Verification and Validation",
Clover Java and groovy code coverage tool homepage,Atlassian,,,,Gergely2018
Code Defenders: A Mutation Testing Game,"Rojas, J.M. and Fraser, G.",2016,,"2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",Rojas2017
Code Hunt: Experience with coding contests at scale,"Bishop, J. and Horspool, R.N. and Xie, T. and Tillmann, N. and Halleux, J.",2015,,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,Rojas2017
Code coverage and test suite effectiveness: Empirical study with real bugs in large systems,"Kochhar, P.S. and Thung, F. and Lo, D.",2015,,"2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",Bach2017
Code coverage for suite evaluation by developers,"Rahul, Carlos, Alex",2014-5-31,10.1145/2568225.2568278,Proceedings of the 36th International Conference on Software Engineering,
"Code coverage, what does it mean in terms of quality?","Williams, T. and Mercer, M. and Mucha, J. and Kapur, R.",2001,,Annual Reliability and Maintainability Symposium. 2001 Proceedings. International Symposium on Product Quality and Integrity (Cat. No.01CH37179),Sherman2009
Code‐aware combinatorial interaction testing,"Bestoun S., Angelo, Kamal Z., Cemal, Miroslav, Marek",2019-12,10.1049/iet-sen.2018.5315,IET Software,
Combination Testing Strategies: A Survey,"Grindal, M. and Offutt, A.J. and Andler, S.F.",2005,,"Software Testing, Verification and Reliability",RealesMateo2013
Combinatorial Interaction Testing for Automated Constraint Repair,"Angelo, Justyna, Marco",2017-3,10.1109/ICSTW.2017.44,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Combining search-based and constraint-based testing,"Jan, Gordon",2011-11,10.1109/ASE.2011.6100092,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),
Comparing and combining test-suite reduction and regression test selection,"August, Tifany, Alex, Darko",2015-8-30,10.1145/2786805.2786878,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,
Comparing non-adequate test suites using coverage criteria,"Milos, Alex, Chaoqiang, Rohan, Mohammad Amin, Darko",2013-7-15,10.1145/2483760.2483769,Proceedings of the 2013 International Symposium on Software Testing and Analysis,
Comparing search techniques for finding subtle higher order mutants,"Omar, E. and Ghosh, S. and Whitley, D.",2014,,Proceedings of the 2014 Annual Conference on Genetic and Evolutionary Computation,Tengeri2016
Comparing test quality measures for assessing student-written tests,"Stephen H., Zalia",2014-5-31,10.1145/2591062.2591164,Companion Proceedings of the 36th International Conference on Software Engineering,
Comparing the fault detection effectiveness of n-way and random test suites,"Schroeder, P.J. and Bolaki, P. and Gopu, V.",2004-08,,"Proceedings. 2004 International Symposium on Empirical Software Engineering, 2004. ISESE '04.",Felbinger2017
Comparing white-box and black-box test prioritization,"Henard, C. and Papadakis, M. and Harman, M. and Jia, Y. and Traon, Y.Le",2016,,Proceedings of the 38th International Conference on Software Engineering,Felbinger2017
Comparison of Unit-Level Automated Test Generation Tools,"Wang, S. and Offutt, J.",2009,,"2009 International Conference on Software Testing, Verification, and Validation Workshops",Zhi2013
Comparison of program testing strategies,"Elaine J., Stewart N., Dick",1991,10.1145/120807.120808,"Proceedings of the symposium on Testing, analysis, and verification  - TAV4",
Compiler-Integrated Program Mutation,"DeMillo, R.A. and Krauser, E.W. and Mather, A.P.",1991,,[1991] Proceedings The Fifteenth Annual International Computer Software & Applications Conference,Inozemtseva2013
Compiler-integrated program mutation,"R.A., E.W., A.P.",,10.1109/CMPSAC.1991.170202,[1991] Proceedings The Fifteenth Annual International Computer Software & Applications Conference,
Composing Tests from Examples.,"Markus, Rafael, Oscar",2007,10.5381/jot.2007.6.9.a4,The Journal of Object Technology,
Compositional dynamic test generation,Patrice,2007,10.1145/1190216.1190226,Proceedings of the 34th annual ACM SIGPLAN-SIGACT symposium on Principles of programming languages  - POPL '07,
Concurrent bug patterns and how to test them,"Farchi, E. and Nir, Y. and Ur, S.",2003,,Proceedings International Parallel and Distributed Processing Symposium,Sherman2009
Considering rigor and relevance when evaluating test driven development: A systematic review,"Hussan, Misagh, Kai",2014-4,10.1016/j.infsof.2014.01.002,Information and Software Technology,
Constrained Interaction Testing: A Systematic Literature Study,"Bestoun S., Kamal Z., Wasif, Miroslav",2017,10.1109/ACCESS.2017.2771562,IEEE Access,
Constrained mutation in C programs,"Wong, W.E. and Delamaro, M.E. and Maldonado, J.C. and Mathur, A.P.",1994,,,Gopinath2017a
Constrained mutation in c programs,"Wong, W.E. and Maldonado, J.C. and Delamaro, M.E. and Mathur, A.P.",1994,,,Lindstroem2016
Constraint-based automatic test data generation,"R.A., A.J.",1991,10.1109/32.92910,IEEE Transactions on Software Engineering,
Constructing Subtle Faults Using Higher Order Mutation Testing,"Yue, Mark",2008-9,10.1109/SCAM.2008.36,2008 Eighth IEEE International Working Conference on Source Code Analysis and Manipulation,
Constructing Subtle Faults Using Higher Order Mutation Testing”,"Jia, Y. and Harman, M.",2008,,2008 Eighth IEEE International Working Conference on Source Code Analysis and Manipulation,Parsai2016
Constructing interaction test suites for highly-configurable systems in the presence of constraints: A greedy Approach”,"Cohen, M. and Dwyer, M. and Shi, J.",2008,,IEEE Transactions on Software Engineering,Godio2019
Constructing subtle faults using higher order mutation testing,"Jia, Y. and Harman, M.",2008,,2008 Eighth IEEE International Working Conference on Source Code Analysis and Manipulation,Gopinath2017a
Correction to “Toward a theory of test data selection”,"Goodenough, John B. and Gerhart, Susan L.",1975-12,,IEEE Transactions on Software Engineering,Harder2003
Correction to: Evaluating testing methods by delivered reliability,"Frankl, Phyllis and Hamlet, Dick and Littlewood, Bev and Strigini, Lorenzo",March/April 1999,,,Harder2003
Cost Effectiveness of Unit Testing: A Case Study in a Financial Institution,"Delgado, D. and Martinez, A.",,,2013 ACM / IEEE International Symposium on Empirical Software Engineering and Measurement,Bowes2017
Coverage and Its Discontents,"Alex, Mohammad Amin, Rahul",2014-10-14,10.1145/2661136.2661157,"Proceedings of the 2014 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming & Software",
Coverage and fault detection of the output-uniqueness test selection criteria,"Nadia, Mark",2014,10.1145/2610384.2610413,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,
Coverage and its discontents,"Groce, A. and Alipour, M.A. and Gopinath, R.",2014,,,Bach2017
Coverage based test-case generation using model checkers,"S., M.P.E.",,10.1109/ECBS.2001.922409,Proceedings. Eighth Annual IEEE International Conference and Workshop On the Engineering of Computer Based Systems-ECBS 2001,
Coverage criteria for GUI testing,"Memon, A.M. and Soffa, M.L. and Pollack, M.E.",2001,,ACM SIGSOFT Software Engineering Notes,Mirzaaghaei2014
Coverage criteria for automatic security testing of web applications,"Dao, T. and Shibayama, E.",2011,,"Information Systems Security, Lecture Notes in Computer Science",Mirzaaghaei2014
Coverage criteria for logical expressions,"Ammann, P. and Offutt, J. and Huang, H.",2003,,"14th International Symposium on Software Reliability Engineering, 2003. ISSRE 2003.",Felbinger2017
Coverage criteria for testing web applications,"Sampath, S. and Gibson, E. and Sprenkle, S. and Pollock, L.",2005,,,Mirzaaghaei2014
Coverage directed test generation for functional verification using bayesian networks,"Shai, Avi",2003,10.1145/775832.775907,Proceedings of the 40th conference on Design automation  - DAC '03,
Coverage estimation for symbolic model checking,"Yatin, Timothy, Pei-Hsin, Xudong",1999,10.1145/309847.309936,Proceedings of the 36th ACM/IEEE conference on Design automation conference  - DAC '99,
Coverage is not strongly correlated with test suite effectiveness,"Laura, Reid",2014-5-31,10.1145/2568225.2568271,Proceedings of the 36th International Conference on Software Engineering,
Coverage rewarded: Test input generation via adaptation-based programming,Alex,2011-11,10.1109/ASE.2011.6100077,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),
Coverage-based reduction of test execution time: Lessons from a very large industrial project,"Bach, T. and Andrzejak, A. and Pannemans, R.",,,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",Bach2017
"Coverage-based regression test case selection, minimization and prioritization: a case study on an industrial system","Daniel, Nadia, Lionel, Yvan",2015-4-7,10.1002/stvr.1572,"Software Testing, Verification and Reliability",
Covering and Uncovering Equivalent Mutants,"David, Andreas",2012-4-4,10.1002/stvr.1473,"Software Testing, Verification and Reliability",
Covering and uncovering equivalent mutants,"Schuler, D. and Zeller, A.",2013,,"Software Testing, Verification and Reliability",Rojas2017
"Covrig: a framework for the analysis of code, test, and coverage evolution in real software","Paul, Petr, Cristian",2014,10.1145/2610384.2610419,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,
Crash reproduction via test case mutation: let existing test cases help,"Jifeng, Xiaoyuan, Martin",2015-8-30,10.1145/2786805.2803206,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,
DART: Directed automated random testing,"Godefroid, P. and Klarlund, N. and Sen, K.",2005-06,,"Hardware and Software: Verification and Testing, Lecture Notes in Computer Science",Robinson2011
DWASTIC: Automating coverage metrics for dynamic web applications,"Alalfi, M. and Cordy, J.R. and Dean, T.R.",2009,,,Mirzaaghaei2014
Data flow coverage and the C language,"J. R., S.",1991,10.1145/120807.120815,"Proceedings of the symposium on Testing, analysis, and verification  - TAV4",
Data-flow-based unit testing of aspect-oriented programs,"Zhao, J.",2003-11,,Proceedings 27th Annual International Computer Software and Applications Conference. COMPAC 2003,Xie2006
Database-aware test coverage monitoring,"Kapfhammer, G.M. and Soffa, M.L.",2008,,Proceedings of the 1st conference on India software engineering conference - ISEC '08,McMinn2019
Decreasing the Cost of Mutation Testing with Second-Order Mutants,"Polo, M. and Piattini, M. and Garcı́a-Rodrı́guez, I.",2008,,"Software Testing, Verification and Reliability",RealesMateo2013
Decreasing the Cost of Mutation Testing with Second-order Mutants”,"Polo, M. and Piattini, M. and Garcı́a-Rodrı́guez, I.",2009-06,,"Software Testing, Verification and Reliability",Parsai2016
DeepGauge: multi-granularity testing criteria for deep learning systems,"Lei, Felix, Fuyuan, Jiyuan, Minhui, Bo, Chunyang, Ting, Li, Yang, Jianjun, Yadong",2018-9-3,10.1145/3238147.3238202,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,
DeepRoad: GAN-based metamorphic testing and input validation framework for autonomous driving systems,"Mengshi, Yuqun, Lingming, Cong, Sarfraz",2018-9-3,10.1145/3238147.3238187,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,
DeepTest,"Yuchi, Kexin, Suman, Baishakhi",2018-5-27,10.1145/3180155.3180220,Proceedings of the 40th International Conference on Software Engineering,
"Defect-Based Testing,” in Dependable Software Systems Engineering","Pretschner, A.",2015,,,Holling2016
Defects4J: A database of existing faults to enable controlled testing studies for Java programs,"Just, R. and Jalali, D. and Ernst, M.D.",2014-07,,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,Wang2017
Defects4J: a database of existing faults to enable controlled testing studies for Java programs,"René, Darioush, Michael D.",2014,10.1145/2610384.2628055,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,
Deriving software statistical testing model from UML model,", , ",2003,10.1109/QSIC.2003.1319120,"Third International Conference on Quality Software, 2003. Proceedings.",
Designing and comparing automated test oracles for GUI-based software applications,"Xie, Q. and Memon, A.M.",2007-02,,ACM Transactions on Software Engineering and Methodology,Zhi2013
Designing deletion mutation operators,"Delamaro, M. and Offutt, J. and Ammann, P.",2014-03,,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",Tengeri2016
Detecting Equivalent Mutants and the Feasible Path Problem,"Offutt, A. and Pan, J.",1997-09,,Proceedings of 11th Annual Conference on Computer Assurance. COMPASS '96,RealesMateo2013
Detecting equivalent mutants and the feasible path problem,"A.J., ",,10.1109/CMPASS.1996.507890,Proceedings of 11th Annual Conference on Computer Assurance. COMPASS '96,
Deterministic execution testing of concurrent ada programs,"Carver, R. and Tai, K.C.",1989,,"Proceedings of the conference on Tri-Ada '89 Ada technology in context: application, development, and deployment - TRI-Ada '89",Sherman2009
"Developer Testing in the IDE: Patterns, Beliefs, and Behavior","Moritz, Georgios, Annibale, Sebastian, Sven, Andy",2019-3-1,10.1109/TSE.2017.2776152,IEEE Transactions on Software Engineering,
DiffGen: Automated Regression Unit-Test Generation,"Kunal, Tao",2008-9,10.1109/ASE.2008.60,2008 23rd IEEE/ACM International Conference on Automated Software Engineering,
Directed Random Testing,"Pacheco, C.",2009-06,,,Robinson2011
Directed Test Suite Augmentation,"Zhihong, Gregg",2009-12,10.1109/APSEC.2009.29,2009 16th Asia-Pacific Software Engineering Conference,
Directed test suite augmentation,"Zhihong, Yunho, Moonzoo, Gregg, Myra B.",2010,10.1145/1882291.1882330,Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering - FSE '10,
Directed test suite augmentation: techniques and tradeoffs,"Xu, Z. and Kim, Y. and Kim, M. and Rothermel, G. and Cohen, M.B.",2010,,,Zhang2012
Do Automatically Generated Unit Tests Find Real Faults? An Empirical Study of Effectiveness and Challenges (T),"Sina, Rene, Jose Miguel, Gordon, Phil, Andrea",2015-11,10.1109/ASE.2015.86,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),
Do Redundant Mutants Affect the Effectiveness and Efficiency of Mutation Analysis?,"Rene, Gregory M., Franz",2012-4,10.1109/ICST.2012.162,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",
Do automatically generated unit tests find real faults? An empirical study of effectiveness and challenges,"Shamshiri, S. and Just, R. and Rojas, J.M. and Fraser, G. and McMinn, P. and Arcuri, A.",2015-11,,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),Wang2017
Do automatically generated unit tests find real faults? an empirical study of effectiveness and challenges,"Shamshiri, S. and Just, R. and Rojas, J.M. and Fraser, G. and McMinn, P. and Arcuri, A.",2015-11,,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),Wang2017
Do automatically generated unit tests find real faults? an empirical study of effectiveness and challenges (T,"Shamshiri, S. and Just, R. and Rojas, J.M. and Fraser, G. and McMinn, P. and Arcuri, A.",2015,,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),Rojas2017
Do redundant mutants affect the effectiveness and efficiency of mutation analysis,"Just, R. and Kapfhammer, G.M. and Schweiggert, F.",2012,,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",Lindstroem2016
Do redundant mutants affect the effectiveness and efficiency of mutation analysis?,"Just, R. and Kapfhammer, G.M. and Schweiggert, F.",2012,,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",McMinn2019
Does Test-Driven Development Really Improve Software Design Quality?,"David, Hossein",2008-3,10.1109/MS.2008.34,IEEE Software,
Does automated white-box test generation really help software testers?,"Fraser, G. and Staats, M. and McMinn, P. and Arcuri, A. and Padberg, F.",2013,,Proceedings of the 2013 International Symposium on Software Testing and Analysis,Kracht2014
