Title,Abstract,Authors,Published,Published_In
An empirical study on the adequacy of testing in open source projects,"During software maintenance, testing is a crucial activity to ensure the quality of code as it evolves over time. With the increasing size and complexity of software, adequate software testing has become increasingly important. Code coverage is an important metric to gauge","['PS Kochhar', 'F Thung', 'D Lo']",2014,2014 21st Asia-Pacific Software Engineering Conference
An empirical study on the application of mutation testing for a safety-critical industrial software system,"Background: Testing is an essential activity in safety-critical software development, following high standards in terms of code coverage. Mutation testing allows assessing the effectiveness of testing and helps to further improve test cases. However, mutation testing is","['R Ramler', 'T Wetzlmaier', 'C Klammer']",2017,Proceedings of the Symposium on Applied Computing
An empirical study on the effects of code visibility on program testability,"Software testability represents the degree of ease with which a software artifact supports testing. When it is easy to detect defects in a program through testing, the program has high testability; otherwise, the testability of the program is low. As an abstract property of","['L Ma', 'C Zhang', 'B Yu', 'H Sato']",2017,Software Quality Journal
An empirical study on the scalability of selective mutation testing,"Software testing plays an important role in ensuring software quality by running a program with test suites. Mutation testing is designed to evaluate whether a test suite is adequate in detecting faults. Due to the expensive cost of mutation testing, selective mutation testing was","['J Zhang', 'M Zhu', 'D Hao', 'L Zhang']",2014,2014 IEEE 25th International Symposium on Software Reliability Engineering
An empirical study on the use of defect prediction for test case prioritization,"Test case prioritization has been extensively re-searched as a means for reducing the time taken to discover regressions in software. While many different strategies have been developed and evaluated, prior experiments have shown them to not be effective at","['D Paterson', 'J Campos', 'R Abreu']",2019,"2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)"
An ensemble‐based predictive mutation testing approach that considers impact of unreached mutants,"Predictive mutation testing (PMT) is a technique to predict whether a mutant is killed, using machine learning approaches. Researchers have proposed various methods for PMT over the years. However, the impact of unreached mutants on PMT is not fully addressed. A",['A Aghamohammadi'],2021,"Software Testing, Verification and Reliability"
An evaluation of Monte Carlo-based hyper-heuristic for interaction testing of industrial embedded software applications,"Hyper-heuristic is a new methodology for the adaptive hybridization of meta-heuristic algorithms to derive a general algorithm for solving optimization problems. This work focuses on the selection type of hyper-heuristic, called the exponential Monte Carlo with","['BS Ahmed', 'E Enoiu', 'W Afzal', 'KZ Zamli']",2020,Soft Computing
An evaluation of internal program metrics as predictors of mutation operator score,"Context: Mutation testing is effective in producing high quality test sets. On the downside, it is expensive due to factors like the large number of mutants and the need for manual analysis tasks. Over time, researchers devised several ways of reducing its costs and achieved","['LD Dallilo', 'AV Pizzoleto', 'FC Ferrari']",2019,Proceedings of the IV Brazilian Symposium on Systematic and Automated Software Testing  - SAST 2019
An experience report on applying software testing academic results in industry: we need usable automated test generation,"What is the impact of software engineering research on current practices in industry? In this paper, I report on my direct experience as a PhD/post-doc working in software engineering research projects, and then spending the following five years as an engineer in two different",['A Arcuri'],2018,
An experimental assessment of module documentation-based testing,"Context Testing a module that has memory using the black-box approach has been found to be expensive and relatively ineffective. Instead, testing without knowledge of the specifications (white-box approach) may not be effective in showing whether a program has","['S Baharom', 'Z Shukur']",2011,Information and Software Technology
"An extensible, regular-expression-based tool for multi-language mutant generation","Mutation testing is widely used in research (even if not in practice). Mutation testing tools usually target only one programming language and rely on parsing a program to generate mutants, or operate not at the source level but on compiled bytecode. Unfortunately","['A Groce', 'J Holmes', 'D Marinov', 'A Shi']",2018,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings
An extensive study on cross-project predictive mutation testing,"Mutation testing is a powerful technique for evaluating the quality of test suite which plays a key role in ensuring software quality. The concept of mutation testing has also been widely used in other software engineering studies, eg, test generation, fault localization, and","['D Mao', 'L Chen', 'L Zhang']",2019,"2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)"
An improved crow search algorithm for test data generation using search-based mutation testing,Automation of test data generation is of prime importance in software testing because of the high cost and time incurred in manual testing. This paper proposes an Improved Crow Search Algorithm (ICSA) to automate the generation of test suites using the concept of,"['N Jatana', 'B Suri']",2020,Neural Processing Letters
An improved history-based test prioritization technique technique using code coverage,"Prioritization of test cases provides a way to run test cases with the highest priority earliest. Numerous empirical studies have shown that prioritization can improve a test suite's rate of fault detection. Software testers prioritize test cases, to reduce the cost of regression testing","['A Gupta', 'N Mishra', 'A Tripathi', 'M Vardhan']",2015,"Lecture Notes in Electrical Engineering, Advanced Computer and Communication Engineering Technology"
"An industrial application of mutation testing: Lessons, challenges, and research directions","Mutation analysis evaluates a testing or debugging technique by measuring how well it detects mutants, which are systematically seeded, artificial faults. Mutation analysis is inherently expensive due to the large number of mutants it generates and due to the fact that","['G Petrovic', 'M Ivankovic', 'B Kurtz']",2018,"2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
An industrial evaluation of unit test generation: Finding real faults in a financial application,"Automated unit test generation has been extensively studied in the literature in recent years. Previous studies on open source systems have shown that test generation tools are quite effective at detecting faults, but how effective and applicable are they in an industrial","['MM Almasi', 'H Hemmati', 'G Fraser']",2017,2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP)
An integrated approach to software testing and learning,Software testing–the most commonly used approach for findings bugs–and machine learning–the most popular approach for extracting information from data–are two classic yet disparate approaches that serve largely different purposes and employ fairly unique,['M Zhang'],2019,
An integration test coverage metric for Java programs,"A large number of test coverage metrics have been proposed in the context of unit and system testing of object-oriented programs. However, structural coverage metrics for integration testing have scarcely been reported. On the other hand, interface bugs are","['D Mukherjee', 'R Mall']",2019,International Journal of System Assurance Engineering and Management
An intuitive approach to determine test adequacy in safety-critical software,"Safety-critical software must adhere to stringent quality standards and is expected to be thoroughly tested. However, exhaustive testing of software is usually impractical. The two main challenges faced by a software testing team are generation of effective test cases and","['PA Babu', 'CS Kumar', 'N Murali']",2012,ACM SIGSOFT Software Engineering Notes
An investigation of classification-based algorithms for modified condition/decision coverage criteria,"During software development, white-box testing is used to examine the internal design of the program. One of the most important aspects of white-box testing is the code coverage. Among various test coverage measurements, the Modified Condition/Decision Coverage","['JR Chang', 'CY Huang', 'PH Li']",2012,2012 IEEE Sixth International Conference on Software Security and Reliability Companion
An investigation of compression techniques to speed up mutation testing,"Mutation testing is widely considered as a high-end test coverage criterion due to the vast number of mutants it generates. Although many efforts have been made to reduce the computational cost of mutation testing, in practice, the scalability issue remains. In this","['Q Zhu', 'A Panichella', 'A Zaidman']",2018,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)"
An iterative metamorphic testing technique for web services and case studies,"Metamorphic testing (MT) is an innovative approach to alleviating the oracle problem in software testing, which uses metamorphic relations of the program under test, instead of the test oracles, to verify its outputs. To alleviate the oracle problem of testing web services, we","['C Sun', 'A Fu', 'Y Liu', 'Q Wen', 'Z Wang']",2020,International Journal of Web and Grid Services
An objective comparison of the cost effectiveness of three testing methods,"Branch testing is a well established method for exercising software. JJ-path testing, whilst employed by some practitioners, is less popular, and the testing of JJ-pairs finds few adherents. In this paper an objective, practical study of the cost-effectiveness of these three","['DF Yates', 'N Malevris']",2007,Information and Software Technology
An optimal mutation execution strategy for cost reduction of mutation-based fault localization,"Identifying faulty program entities has been recognized as one of the most expensive, tedious and time-consuming processes in software debugging activity. Fault localization techniques are designed to assist developers in locating faults by giving a ranking of the","['Y Liu', 'Z Li', 'R Zhao', 'P Gong']",2018,Information Sciences
"An “objects first, tests second” approach for software engineering education","Since unit testing is a skill required of professional software developers, lecturers have to develop this skill in their software engineering students. Therefore, we introduce the approach of “objects first, tests second”, which incorporates unit testing into introductory","['V Thurner', 'A Böttcher']",2015,
Analysing and comparing the effectiveness of mutation testing tools: A manual study,"Mutation testing is considered as one of the most powerful testing methods. It operates by asking testers to design tests that reveal a set of mutants, which are purpose-made injected defects. Evidently, the strength of the method strongly depends on the used mutants","['M Kintis', 'M Papadakis', 'A Papadopoulos']",2016,2016 IEEE 16th International Working Conference on Source Code Analysis and Manipulation (SCAM)
Analysing the combination of cost reduction techniques in Android mutation testing,"When applied to mobile software, mutation testing is particularly costly due to the deployment of the app under test onto the device: if one deployment is made for each generated mutant, the execution time becomes unapproachable. This paper analyses how",['M Polo‐Usaola'],2021,"Software Testing, Verification and Reliability"
Analysis and validation of test case redundancy in testing suites of Java libraries,"When studying the test suites from some Java libraries, it is possible to observe a certain redundancy in the execution paths that some of the test cases take, whose reason is not known. In order to understand this issue, we establish two hypotheses: one that this",['M Wolfart'],2021,
Analysis of test coverage metrics in a business critical setup,Test coverage is an important parameter of analyzing how well the product is being tested in any domain within the IT industry. Unit testing is one of the important processes that have gained even more popularity with the rise in Test driven development (TDD) culture. This,['S Mishra'],2017,
Analysis of test suite reduction with enhanced tie-breaking techniques,"Test suite minimization techniques try to remove redundant test cases of a test suite. However, reducing the size of a test suite might reduce its ability to reveal faults. In this paper, we present a novel approach for test suite reduction that uses an additional testing","['JW Lin', 'CY Huang']",2009,
Analyzing automatic test generation tools for refactoring validation,"Refactoring edits are very common during agile development. Due to their inherent complexity, refactorings are know to be error prone. In this sense, refactoring edits require validation to check whether no behavior change was introduced. A valid way for validating","['IPSC Silva', 'ELG Alves']",2017,2017 IEEE/ACM 12th International Workshop on Automation of Software Testing (AST)
Analyzing the validity of selective mutation with dominator mutants,Various forms of selective mutation testing have long been accepted as valid approximations to full mutation testing. This paper presents counterevidence to traditional selective mutation. The recent development of dominator mutants and minimal mutation,"['B Kurtz', 'P Ammann', 'J Offutt', 'ME Delamaro']",2016,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering
Angels and monsters: An empirical investigation of potential test effectiveness and efficiency improvement from strongly subsuming higher order mutation,"We study the simultaneous test effectiveness and efficiency improvement achievable by Strongly Subsuming Higher Order Mutants (SSHOMs), constructed from 15,792 first order mutants in four Java programs. Using SSHOMs in place of the first order mutants they","['M Harman', 'Y Jia', 'P Reales Mateo', 'M Polo']",2014,
Ante up: A framework to strengthen student-based testing of assignments,We introduce the Ante framework to automate the evaluation of student tests in such a way that students will see them as an integral part of the software development process. Our unique approach is to evaluate student testing before students are allowed to submit,['MK Bradshaw'],2015,
Applying automated test case generation in industry: a retrospective,"Automated test case generation promises to reduce the high effort of manually developing and maintaining test cases, to improve the effectiveness of testing, and to speed-up testing cycles. Research on generating test cases has advanced over the past decades and today a","['R Ramler', 'C Klammer']",2018,"2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Applying automated testing in an existing client-server game: A pursuit for fault localization in Quake 3,"This paper addresses the question formulation “Is it possible to implement automated testing in an existing client-server game in order to pinpoint faults and achieve credibility to tests?” The gaming industry's goal, in most cases, is to release games that appeal to both their","['H Kljajic', 'O Karlsson']",2015,
Applying concept analysis to user-session-based testing of web applications,"The continuous use of the Web for daily operations by businesses, consumers, and the government has created a great demand for reliable Web applications. One promising approach to testing the functionality of Web applications leverages the user-session data","['S Sampath', 'S Sprenkle', 'E Gibson']",2007,IEEE Transactions on Software Engineering
Applying mutation analysis on kernel test suites: An experience report,"Mutation analysis is an established technique for measuring the completeness and quality of a test suite. Despite four decades of research on this technique, its use in large systems is still rare, in part due to computational requirements and high numbers of false positives. We","['I Ahmed', 'C Jensen', 'A Groce']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Applying mutation testing for assessing test suites quality at model level,Models are commonly used in software testing to select test suites. Application of mutation testing at a model level can contribute to reliable and early assessment of the quality of the test suites. It can also support selection of test suites achieving high fault detection rates. The,['J Strug'],2016,Proceedings of the 2016 Federated Conference on Computer Science and Information Systems
Applying selective mutation strategies to the AsmetaL language,"state machines (ASMs) have been introduced as a computation model that is more powerful and more universal than standard computation models. The early validation of ASM models would help reduce the cost and risk of having defects propagate, through","['O Alkrarha', 'J Hassine']",2017,IET Software
Approximate transformations as mutation operators,"Mutation testing is a well-established approach for evaluating test-suite quality by modifying code using syntax-changing (and potentially semantics-changing) transformations, called mutation operators. This paper proposes approximate transformations as new mutation","['F Hariri', 'A Shi', 'O Legunsen', 'M Gligoric']",2018,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)"
Arbitcheck: A highly automated property-based testing tool for java,"Lightweight property-based testing tools are becoming popular these days. With property-based testing, developers can test properties of the system under test against large varieties of randomly generated inputs without writing test cases. Despite the advantages of property","['K Yatoh', 'K Sakamoto', 'F Ishikawa']",2014,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops"
Are concurrency coverage metrics effective for testing: a comprehensive empirical investigation,"Testing multithreaded programs is inherently challenging, as programs can exhibit numerous thread interactions. To help engineers test these programs cost‐effectively, researchers have proposed concurrency coverage metrics. These metrics are intended to be","['S Hong', 'M Staats', 'J Ahn', 'M Kim']",2015,"Software Testing, Verification and Reliability"
Are mutants a valid substitute for real faults in software testing?,"A good test suite is one that detects real faults. Because the set of faults in a program is usually unknowable, this definition is not useful to practitioners who are creating test suites, nor to researchers who are creating and evaluating tools that generate test","['R Just', 'D Jalali', 'L Inozemtseva', 'MD Ernst']",2014,Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering
"Are mutants really natural? a study on how"" naturalness"" helps mutant selection","Background: Code is repetitive and predictable in a way that is similar to the natural language. This means that code is"" natural"" and this"" naturalness"" can be captured by natural language modelling techniques. Such models promise to capture the program","['M Jimenez', 'TT Checkam', 'M Cordy']",2018,
Are mutation scores correlated with real fault detection? a large scale empirical study on the relationship between mutants and real faults,"Empirical validation of software testing studies is increasingly relying on mutants. This practice is motivated by the strong correlation between mutant scores and real fault detection that is reported in the literature. In contrast, our study shows that correlations are","['M Papadakis', 'D Shin', 'S Yoo']",2018,
Are my unit tests in the right package?,"The software development industry has adopted written and de facto standards for creating effective and maintainable unit tests. Unfortunately, like any other source code artifact, they are often written without conforming to these guidelines, or they may evolve into such a","['G Balogh', 'T Gergely', 'Á Beszédes']",2016,2016 IEEE 16th International Working Conference on Source Code Analysis and Manipulation (SCAM)
Are unit and integration test definitions still valid for modern Java projects? An empirical study on open-source projects,"Context Unit and integration testing are popular testing techniques. However, while the software development context evolved over time, the definitions remained unchanged. There is no empirical evidence, if these commonly used definitions still fit to modern software","['F Trautsch', 'S Herbold', 'J Grabowski']",2020,Journal of Systems and Software
Are we there yet? How redundant and equivalent mutants affect determination of test completeness,Mutation score has long been used in research as a metric to measure the effectiveness of testing strategies. This paper presents evidence that mutation score lacks the desired accuracy to determine the completeness of a test suite due to noise introduced by the,"['B Kurtz', 'P Ammann', 'J Offutt']",2016,"2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Are we there yet? determining the adequacy of formalized requirements and test suites,"Structural coverage metrics have traditionally categorized code as either covered or uncovered. Recent work presents a stronger notion of coverage, checked coverage, which counts only statements whose execution contributes to an outcome checked by an oracle","['A Murugesan', 'MW Whalen', 'N Rungta']",2015,"Lecture Notes in Computer Science, NASA Formal Methods"
Aspect-oriented program testing: An annotated bibliography,,"['AAA Ghani', 'RM Parizi']",2013,Journal of Software
Assertions are strongly correlated with test suite effectiveness,"Code coverage is a popular test adequacy criterion in practice. Code coverage, however, remains controversial as there is a lack of coherent empirical evidence for its relation with test suite effectiveness. More recently, test suite size has been shown to be highly correlated","['Y Zhang', 'A Mesbah']",2015,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering
Assessing and improving the mutation testing practice of PIT,"Mutation testing is used extensively to support the experimentation of software engineering studies. Its application to real-world projects is possible thanks to modern tools that automate the whole mutation analysis process. However, popular mutation testing tools use","['T Laurent', 'A Ventresque', 'M Papadakis']",2016,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
Assessing and improving the mutation testing practice of pit,"Mutation testing is extensively used in software testing studies. However, popular mutation testing tools use a restrictive set of mutants which does not conform to the community standards and mutation testing literature. This can be problematic since the effectiveness of","['T Laurent', 'M Papadakis', 'M Kintis']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
Assessing android test data generation tools via mutation testing,"A growing number of test data generation techniques and tools for Android applications (apps) has been proposed in the last years. As a consequence, a demand for evaluations comparing such tools has emerged. However, we find few studies only","['HN da Silva', 'PR Farah', 'WDF Mendonça']",2019,Proceedings of the IV Brazilian Symposium on Systematic and Automated Software Testing  - SAST 2019
Assessing exception handling testing practices in open-source libraries,"Modern programming languages (eg, Java and C#) provide features to separate error-handling code from regular code, seeking to enhance software comprehensibility and maintainability. Nevertheless, the way exception handling (EH) code is structured in such","['LP Lima', 'LS Rocha', 'CIM Bezerra', 'M Paixao']",2021,Empirical Software Engineering
Assessing incremental testing practices and their impact on project outcomes,"Software testing is an important aspect of the development process, one that has proven to be a challenge to formally introduce into the typical undergraduate CS curriculum. Unfortunately, existing assessment of testing in student software projects tends to focus on","['AM Kazerouni', 'CA Shaffer', 'SH Edwards']",2019,Proceedings of the 50th ACM Technical Symposium on Computer Science Education
Assessing test artifact quality—A tertiary study,"Context: Modern software development increasingly relies on software testing for an ever more frequent delivery of high quality software. This puts high demands on the quality of the central artifacts in software testing, test suites and test cases. Objective: We aim to develop a","['HKV Tran', 'M Unterkalmsteiner', 'J Börstler']",2021,Information and Software Technology
Assessing test case prioritization on real faults and mutants,"Test Case Prioritization (TCP) is an important component of regression testing, allowing for earlier detection of faults or helping to reduce testing time and cost. While several TCP approaches exist in the research literature, a growing number of studies have evaluated","['Q Luo', 'K Moran', 'D Poshyvanyk']",2018,2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)
Assessing test quality,"When developing tests, one is interested in creating tests of good quality that thoroughly test the program. This work shows how to assess test quality through mutation testing with impact metrics, and through checked coverage. Although there a different aspects that",['D Schuler'],2011,
Assessing the applicability of a combinatorial testing tool within an industrial environment,This paper describes a case study executed to evaluate a combinatorial test design approach within the industrial setting of IBM Research. An existing combinatorial test suite was compared against a prioritized combinatorial test suite that was generated with the,"['PM Kruse', 'O Shehory', 'D Citron']",2014,
"Assessing the test suite of a large system based on code coverage, efficiency and uniqueness",Regression test suites of evolving software systems play a key role in maintaining software quality throughout continuous changes. They need to be effective (in terms of detecting faults and helping their localization) and efficient (optimally sized and without redundancy),"['L Vidács', 'F Horváth', 'D Tengeri']",2016,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)"
Assessment of C++ object‐oriented mutation operators: A selective mutation approach,"Mutation testing is an effective but costly testing technique. Several studies have observed that some mutants can be redundant and therefore removed without affecting its effectiveness. Similarly, some mutants may be more effective than others in guiding the","['P Delgado‐Pérez', 'S Segura']",2017,"Software Testing, Verification and Reliability"
Assessment of class mutation operators for C++ with the MuCPP mutation system,"Context: Mutation testing has been mainly analyzed regarding traditional mutation operators involving structured programming constructs common in mainstream languages, but mutations at the class level have not been assessed to the same extent. This fact is","['P Delgado-Pérez', 'I Medina-Bulo']",2017,
Assurances in software testing: A roadmap,"As researchers, we already understand how to make testing more effective and efficient at finding bugs. However, as fuzzing (ie, automated testing) becomes more widely adopted in practice, practitioners are asking: Which assurances does a fuzzing campaign provide that",['M Böhme'],2019,2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER)
Auto test generator: a framework to generate test cases from requirements in natural language,"Testing is essential in the software engineering development process. However, it is also one of the most costly tasks. Thus, test automation has become the goal of many researches. Since design, implementation, and execution phases depend substantially on the system",['TML PINA'],2019,
Automata language equivalence vs. simulations for model-based mutant equivalence: An empirical evaluation,"Mutation analysis is a popular test assessment method. It relies on the mutation score, which indicates how many mutants are revealed by a test suite. Yet, there are mutants whose behaviour is equivalent to the original system, wasting analysis resources and preventing","['X Devroey', 'G Perrouin', 'M Papadakis']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
Automated Test Case Implantation to Test Untested Configurations: A Cost-Effective Search-Based Approach,"Context: Modern large-scale software systems are highly configurable, and thus require a large number of test cases to be implemented and revised for testing a variety of system configurations. This makes testing highly configurable systems very expensive and time","['D Pradhan', 'S Wang', 'T Yue', 'S Ali', 'M Liaaen']",NA,
"Automated assessment of programming assignments: visual feedback, assignment mobility, and assessment of students' testing skills",The main objective of this thesis is to improve the automated assessment of programming assignments from the perspective of assessment tool developers. We have developed visual feedback on functionality of students' programs and explored methods to control the level of,['P Ihantola'],2011,
Automated assessment of students' testing skills for improving correctness of their code,"Although software testing is included as a regular part of many programming courses, current assessment techniques used in automated grading tools for evaluating student-written software tests are imperfect. Code coverage measures are typically used in practice",['Z Shams'],2013,"Proceedings of the 2013 companion publication for conference on Systems, programming, & applications: software for humanity - SPLASH '13"
Automated code-based test selection for software product line regression testing,Regression testing for software product lines (SPLs) is challenging and can be expensive because it must ensure that all the products of a product family are correct whenever changes are made. SPL regression testing can be made efficient through a test case,"['P Jung', 'S Kang', 'J Lee']",2019,2018 25th Asia-Pacific Software Engineering Conference (APSEC)
Automated coverage-based testing of XACML policies,"While the standard language XACML is very expressive for specifying fine-grained access control policies, defects can get into XACML policies for various reasons, such as misunderstanding of access control requirements, omissions, and coding errors. These","['D Xu', 'R Shrestha', 'N Shen']",2018,Proceedings of the 23nd ACM on Symposium on Access Control Models and Technologies
Automated generation of pointcut mutants for testing pointcuts in AspectJ programs,"Aspect-oriented programming (AOP) provides new modularization of software systems by encapsulating cross-cutting concerns. AspectJ, an AOP language, uses abstractions such as pointcuts, advice, and aspects to achieve AOPpsilas primary functionality. Faults in pointcuts","['P Anbalagan', 'T Xie']",2008,2008 19th International Symposium on Software Reliability Engineering (ISSRE)
Automated isolation for white-box test generation,"Context: White-box test generation is a technique used for automatically selecting test inputs using only the code under test. However, such techniques encounter challenges when applying them to complex programs. One of the challenges is handling invocations to","['D Honfi', 'Z Micskei']",2020,Information and Software Technology
"Automated oracle creation support, or: How I learned to stop worrying about fault propagation and love mutation testing","In testing, the test oracle is the artifact that determines whether an application under test executes correctly. The choice of test oracle can significantly impact the effectiveness of the testing process. However, despite the prevalence of tools that support the selection of test","['M Staats', 'G Gay', 'MPE Heimdahl']",2012,2012 34th International Conference on Software Engineering (ICSE)
Automated regression unit test generation for program merges,"Merging other branches into the current working branch is common in collaborative software development. However, developers still heavily rely on the textual merge tools to handle the complicated merge tasks. The latent semantic merge conflicts may fail to be detected and","['T Ji', 'L Chen', 'X Mao', 'X Yi', 'J Jiang']",2020,
Automated search for good coverage criteria: moving from code coverage to fault coverage through search-based software engineering,"We propose to use Search-Based Software Engineering to automatically evolve coverage criteria that are well correlated with fault revelation, through the use of existing fault databases. We explain how problems of bloat and overfitting can be ameliorated in our","['P McMinn', 'M Harman', 'G Fraser']",2016,
Automated steering of model-based test oracles to admit real program behaviors,"The test oracle-a judge of the correctness of the system under test (SUT)-is a major component of the testing process. Specifying test oracles is challenging for some domains, such as real-time embedded systems, where small changes in timing or sensory input may","['G Gay', 'S Rayadurgam']",2016,IEEE Transactions on Software Engineering
Automated strong mutation testing of XACML policies,"While the existing methods for testing XACML policies have varying levels of effectiveness, none of them can reveal the majority of policy faults. The undisclosed faults may lead to unauthorized access and denial of service. This paper presents an approach to strong","['D Xu', 'R Shrestha', 'N Shen']",2020,
Automated techniques for improving the quality of existing test suites,Testing is playing a crucial and fundamental role in modern software development. Although software tests are conceptually simple—they are composed of two primary parts: inputs that are used to execute the program under test and an oracle that is used to verify that the,['C Huo'],2017,
Automated test case generation to validate non-functional software requirements,"A software system is bounded by a set of requirements. Functional requirements describe what the system must do, in terms of inputs, behavior, and outputs. We define non-functional requirements to be how well these functional requirements are satisfied, in terms of qualities",['P Zhang'],2013,
Automated test data generation for aspect-oriented programs,"Despite the upsurge of interest in the Aspect-Oriented Programming (AOP) paradigm, there remain few results on test data generation techniques for AOP. Furthermore, there is no work on search-based optimization for test data generation, an approach that has been shown to","['M Harman', 'F Islam', 'T Xie', 'S Wappler']",2009,Proceedings of the 8th ACM international conference on Aspect-oriented software development - AOSD '09
Automated test data generation for mutation testing using AspectJ programs,Aspect oriented programming is a new paradigm of software development. It introduces new types of faults. Mutation testing is a technique which can tackle these faults systematically. The effectiveness of testing depends on the coverage of testing locations to find faults and,"['M Singh', 'PK Gupta', 'S Mishra']",2011,2011 International Conference on Image Information Processing
Automated test generation for multi-state systems,This paper describes a genetic algorithm based on mutation testing to generate test cases for classes with multiple states. The fitness function is based on the coverability and the killability of the individuals. The paper includes a small empirical section that shows,"['P Reales Mateo', 'M Polo Usaola']",2013,Proceedings of the 15th annual conference companion on Genetic and evolutionary computation
Automated test generation technique for aspectual features in AspectJ,Context Aspect-oriented programming (AOP) has been promoted as a means for handling the modularization of software systems by raising the abstraction level and reducing the scattering and tangling of crosscutting concerns. Studies from literature have shown the,"['RM Parizi', 'AAA Ghani', 'SP Lee']",2015,Information and Software Technology
"Automated test oracles: State of the art, taxonomies, and trends","Test oracle methods have changed significantly over time, which has resulted in clear shifts in the research literature. Over the years, the testing techniques, strategies, and criteria utilized by researchers went through technical developments due to the improvement of","['RAP Oliveira', 'U Kanewala', 'PA Nardi']",2014,
Automated test reuse for highly configurable software,Dealing with highly configurable systems is generally very complex. Researchers and practitioners have conceived hundreds of different analysis techniques to deal with different aspects of configurable systems. One large focal point is the testing of configurable software,"['S Fischer', 'GK Michelon', 'R Ramler', 'L Linsbauer']",2020,Empirical Software Engineering
Automated testing of web applications using combinatorial strategies,"Recently, testing techniques based on dynamic exploration, which try to automatically exercise every possible user interface element, have been extensively used to facilitate fully testing web applications. Most of such testing tools are however not effective in reaching","['XF Qi', 'ZY Wang', 'JQ Mao', 'P Wang']",2017,Journal of Computer Science and Technology
Automated transplantation and differential testing for clones,"Code clones are common in software. When applying similar edits to clones, developers often find it difficult to examine the runtime behavior of clones. The problem is exacerbated when some clones are tested, while their counterparts are not. To reuse tests for similar but","['T Zhang', 'M Kim']",2017,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)
Automated unit test generation during software development: A controlled experiment and think-aloud observations,"Automated unit test generation tools can produce tests that are superior to manually written ones in terms of code coverage, but are these tests helpful to developers while they are writing code? A developer would first need to know when and how to apply such a tool, and","['JM Rojas', 'G Fraser', 'A Arcuri']",2015,Proceedings of the 2015 International Symposium on Software Testing and Analysis
Automatic detection and removal of ineffective mutants for the mutation analysis of relational database schemas,"Data is one of an organization's most valuable and strategic assets. Testing the relational database schema, which protects the integrity of this data, is of paramount importance. Mutation analysis is a means of estimating the fault-finding “strength” of a test suite. As with","['P McMinn', 'CJ Wright', 'CJ McCurdy']",2017,IEEE Transactions on Software Engineering
Automatic generation of load tests,"Load tests aim to validate whether system performance is acceptable under peak conditions. Existing test generation techniques induce load by increasing the size or rate of the input. Ignoring the particular input values, however, may lead to test suites that grossly","['P Zhang', 'S Elbaum', 'MB Dwyer']",2011,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011)
Automatic generation of test case based on GATS algorithm,"A kind of software test data automated generation method based on genetic algorithm and tabu search algorithm is proposed. Having both local search capabilities of tabu search algorithm and global search capability of genetic algorithm, this tabu genetic algorithm","['X Shen', 'Q Wang', 'P Wang']",2009,2009 IEEE International Conference on Granular Computing
Automatic identification of common and special object-oriented unit tests,"Common and special test inputs can be created to exercise some common and special behavior of the class under test, respectively. Although manually created tests are valuable, programmers often overlook some special test inputs. If programmers write down",['T Xie'],2004,"Companion to the 19th annual ACM SIGPLAN conference on Object-oriented programming systems, languages, and applications  - OOPSLA '04"
Automatic mutation test case generation via dynamic symbolic execution,"The automatic test case generation is the principal issue of the software testing activity. Dynamic symbolic execution appears to be a promising approach to this matter as it has been shown to be quite powerful in producing the sought tests. Despite its power, it has only","['M Papadakis', 'N Malevris']",2010,2010 IEEE 21st International Symposium on Software Reliability Engineering
Automatic programming assessment and test data generation a review on its approaches,Automatic programming assessment has recently become an important method in assisting lecturers and instructors of programming courses to automatically mark and grade students' programming exercises as well as to provide useful feedbacks on students' programming,"['R Romli', 'S Sulaiman', 'KZ Zamli']",2010,2010 International Symposium on Information Technology
