BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,DOI
10,,Zhi2013,"Zhi, J.; Garousi, V.",On adequacy of assertions in automated test suites: An empirical investigation,"Proceedings - IEEE 6th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2013",,,,382-391,2013,,cited By 7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883330428&doi=10.1109%2fICSTW.2013.49&partnerID=40&md5=cbd09eac0a1c9ef41b8ab2ca883dc411,,,,,,,,,,,,,"An integral part of test case is the verification phase (also called 'test oracle'), which verifies program's state, output or behavior. In automated testing, the verification phase is often implemented using test assertions which are usually developed manually by testers. More precisely, assertions are used for checking the unit or the system's behavior (or output) which is reflected by the changes in the data fields of the class under test, or the output of the function under test. Originated from human (testers') error, test suites are prone to having inadequate assertions. The paper reports an empirical study on the Inadequate-Assertion (IA) problem in the context of automated test suites developed for open-source projects. In this study, test suites of three active open-source projects have been chosen. To investigate IA problem occurrence among the sampled test suites, we performed mutation analysis and coverage analysis. The results indicate that: (1) the IA problem is common among the sampled open-source projects, and the occurrence varies from project to project and from package to package, and (2) the occurrence rate of the IA problem is positively co-related with the complexity of test code. © 2013 IEEE.",,"Automated testing; empirical case-study; Mutation testing; State coverage; Test assertions; Test oracles, Testing, Software testing",,,10.1109/ICSTW.2013.49
6,9781450327688,Edwards2014,"Edwards, Stephen H.; Shams, Zalia",Comparing Test Quality Measures for Assessing Student-Written Tests,,,,,354–363,2014,"New York, NY, USA",,https://doi.org/10.1145/2591062.2591164,Companion Proceedings of the 36th International Conference on Software Engineering,,,ICSE Companion 2014,,Association for Computing Machinery,,,,,,,"Many educators now include software testing activities in programming assignments, so there is a growing demand for appropriate methods of assessing the quality of student-written software tests. While tests can be hand-graded, some educators also use objective performance metrics to assess software tests. The most common measures used at present are code coverage measures—tracking how much of the student’s code (in terms of statements, branches, or some combination) is exercised by the corresponding software tests. Code coverage has limitations, however, and sometimes it overestimates the true quality of the tests. Some researchers have suggested that mutation analysis may provide a better indication of test quality, while some educators have experimented with simply running every student’s test suite against every other student’s program—an “all-pairs” strategy that gives a bit more insight into the quality of the tests. However, it is still unknown which one of these measures is more accurate, in terms of most closely predicting the true bug revealing capability of a given test suite. This paper directly compares all three methods of measuring test quality in terms of how well they predict the observed bug revealing capabilities of student-written tests when run against a naturally occurring collection of student-produced defects. Experimental results show that all-pairs testing—running each student’s tests against every other student’s solution—is the most effective predictor of the underlying bug revealing capability of a test suite. Further, no strong correlation was found between bug revealing capability and either code coverage or mutation analysis scores.",,"test coverage, automated assessment, test metrics, automated grading, test quality, mutation testing, programming assignments, Software testing",,,10.1145/2591062.2591164
6,9781450330138,Giannakopoulou2014,"Giannakopoulou, Dimitra; Howar, Falk; Isberner, Malte; Lauderdale, Todd; Rakamari\'{c}, Zvonimir; Raman, Vishwanath",Taming Test Inputs for Separation Assurance,,,,,373–384,2014,"New York, NY, USA",,https://doi.org/10.1145/2642937.2642940,Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering,,,ASE '14,,Association for Computing Machinery,,,,,,,"The Next Generation Air Transportation System (NextGen) advocates the use of innovative algorithms and software to address the increasing load on air-traffic control. AutoResolver [12] is a large, complex NextGen component that provides separation assurance between multiple airplanes up to 20 minutes ahead of time. Our work targets the development of a light-weight, automated testing environment for AutoResolver. The input space of AutoResolver consists of airplane trajectories, each trajectory being a sequence of hundreds of points in the three-dimensional space. Generating meaningful test cases for AutoResolver that cover its behavioral space to a satisfactory degree is a major challenge. We discuss how we tamed this input space to make it amenable to test case generation techniques, as well as how we developed and validated an extensible testing environment around AutoResolver.",,"test case generation, test coverage, air-traffic control",,,10.1145/2642937.2642940
6,9781450327565,Gopinath2014,"Gopinath, Rahul; Jensen, Carlos; Groce, Alex",Code Coverage for Suite Evaluation by Developers,,,,,72–82,2014,"New York, NY, USA",,https://doi.org/10.1145/2568225.2568278,Proceedings of the 36th International Conference on Software Engineering,,,ICSE 2014,,Association for Computing Machinery,,,,,,,"One of the key challenges of developers testing code is determining a test suite's quality -- its ability to find faults. The most common approach is to use code coverage as a measure for test suite quality, and diminishing returns in coverage or high absolute coverage as a stopping rule. In testing research, suite quality is often evaluated by a suite's ability to kill mutants (artificially seeded potential faults). Determining which criteria best predict mutation kills is critical to practical estimation of test suite quality. Previous work has only used small sets of programs, and usually compares multiple suites for a single program. Practitioners, however, seldom compare suites --- they evaluate one suite. Using suites (both manual and automatically generated) from a large set of real-world open-source projects shows that evaluation results differ from those for suite-comparison: statement (not block, branch, or path) coverage predicts mutation kills best.",,"evaluation of coverage criteria, statistical analysis, test frameworks",,,10.1145/2568225.2568278
6,9781450332101,Groce2014,"Groce, Alex; Alipour, Mohammad Amin; Gopinath, Rahul",Coverage and Its Discontents,,,,,255–268,2014,"New York, NY, USA",,https://doi.org/10.1145/2661136.2661157,"Proceedings of the 2014 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming &amp; Software",,,Onward! 2014,,Association for Computing Machinery,,,,,,,"Everyone wants to know one thing about a test suite: will it detect enough bugs? Unfortunately, in most settings that matter, answering this question directly is impractical or impossible. Software engineers and researchers therefore tend to rely on various measures of code coverage (where mutation testing is considered a form of syntactic coverage). A long line of academic research efforts have attempted to determine whether relying on coverage as a substitute for fault detection is a reasonable solution to the problems of test suite evaluation. This essay argues that the profusion of coverage-related literature is in part a sign of an underlying uncertainty as to what exactly it is that measuring coverage should achieve, as well as how we would know if it can, in fact, achieve it. We propose some solutions and mitigations, but the primary focus of this essay is to clarify the state of current confusions regarding this key problem for effective software testing.",,"testing, coverage, evaluation",,,10.1145/2661136.2661157
6,9781450327749,Herzig2014,"Herzig, Kim; Nagappan, Nachiappan",The Impact of Test Ownership and Team Structure on the Reliability and Effectiveness of Quality Test Runs,,,,,,2014,"New York, NY, USA",,https://doi.org/10.1145/2652524.2652535,Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,ESEM '14,,Association for Computing Machinery,,,,,,,"Context: Software testing is a crucial step in most software development processes. Testing software is a key component to manage and assess the risk of shipping quality products to customers. But testing is also an expensive process and changes to the system need to be tested thoroughly which may take time. Thus, the quality of a software product depends on the quality of its underlying testing process and on the effectiveness and reliability of individual test cases.Goal: In this paper, we investigate the impact of the organizational structure of test owners on the reliability and effectiveness of the corresponding test cases. Prior empirical research on organizational structure has focused only on developer activity. We expand the scope of empirical knowledge by assessing the impact of organizational structure on testing activities.Method: We performed an empirical study on the Windows build verification test suites (BVT) and relate effectiveness and reliability measures of each test run to the complexity and size of the organizational sub-structure that enclose all owners of test cases executed.Results: Our results show, that organizational structure impacts both test effectiveness and test execution reliability. We are also able to predict effectiveness and reliability with fairly high precision and recall values.Conclusion: We suggest to review test suites with respect to their organizational composition. As indicated by the results of this study, this would increase the effectiveness and reliability, development speed and developer satisfaction.",,"software testing, reliability, effectiveness, empirical software engineering, organizational structure",,,10.1145/2652524.2652535
10,,Inozemtseva2014,"Inozemtseva, L.; Holmes, R.",Coverage is not strongly correlated with test suite effectiveness,Proceedings - International Conference on Software Engineering,,1,,435-445,2014,,cited By 219,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994086611&doi=10.1145%2f2568225.2568271&partnerID=40&md5=8124f10f05fc8239822e7289468833fe,,,,,,,,,,,,,"The coverage of a test suite is often used as a proxy for its ability to detect faults. However, previous studies that investigated the correlation between code coverage and test suite effectiveness have failed to reach a consensus about the nature and strength of the relationship between these test suite characteristics. Moreover, many of the studies were done with small or synthetic programs, making it unclear whether their results generalize to larger programs, and some of the studies did not account for the confounding influence of test suite size. In addition, most of the studies were done with adequate suites, which are are rare in practice, so the results may not generalize to typical test suites. We have extended these studies by evaluating the relationship between test suite size, coverage, and effectiveness for large Java programs. Our study is the largest to date in the literature: we generated 31,000 test suites for five systems consisting of up to 724,000 lines of source code. We measured the statement coverage, decision coverage, and modified condition coverage of these suites and used mutation testing to evaluate their fault detection effectiveness. We found that there is a low to moderate correlation between coverage and effectiveness when the number of test cases in the suite is controlled for. In addition, we found that stronger forms of coverage do not provide greater insight into the effectiveness of the suite. Our results suggest that coverage, while useful for identifying under-tested parts of a program, should not be used as a quality target because it is not a good indicator of test suite effectiveness. © 2014 ACM.",,"Computer software; Fault detection; Java programming language; Software engineering, Code coverage; Coverage; Decision coverage; Fault detection effectiveness; Modified conditions; Mutation testing; Quality targets; Statement coverage, Software testing",,,10.1145/2568225.2568271
6,9781450330565,Just2014,"Just, Ren\'{e}; Jalali, Darioush; Inozemtseva, Laura; Ernst, Michael D.; Holmes, Reid; Fraser, Gordon",Are Mutants a Valid Substitute for Real Faults in Software Testing?,,,,,654–665,2014,"New York, NY, USA",,https://doi.org/10.1145/2635868.2635929,Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,,,FSE 2014,,Association for Computing Machinery,,,,,,,"A good test suite is one that detects real faults. Because the set of faults in a program is usually unknowable, this definition is not useful to practitioners who are creating test suites, nor to researchers who are creating and evaluating tools that generate test suites. In place of real faults, testing research often uses mutants, which are artificial faults -- each one a simple syntactic variation -- that are systematically seeded throughout the program under test. Mutation analysis is appealing because large numbers of mutants can be automatically-generated and used to compensate for low quantities or the absence of known real faults. Unfortunately, there is little experimental evidence to support the use of mutants as a replacement for real faults. This paper investigates whether mutants are indeed a valid substitute for real faults, i.e., whether a test suite’s ability to detect mutants is correlated with its ability to detect real faults that developers have fixed. Unlike prior studies, these investigations also explicitly consider the conflating effects of code coverage on the mutant detection rate. Our experiments used 357 real faults in 5 open-source applications that comprise a total of 321,000 lines of code. Furthermore, our experiments used both developer-written and automatically-generated test suites. The results show a statistically significant correlation between mutant detection and real fault detection, independently of code coverage. The results also give concrete suggestions on how to improve mutation analysis and reveal some inherent limitations.",,"Test effectiveness, mutation analysis, code coverage, real faults",,,10.1145/2635868.2635929
6,9781450326452,Just2014a,"Just, Ren\'{e}; Ernst, Michael D.; Fraser, Gordon",Efficient Mutation Analysis by Propagating and Partitioning Infected Execution States,,,,,315–326,2014,"New York, NY, USA",,https://doi.org/10.1145/2610384.2610388,Proceedings of the 2014 International Symposium on Software Testing and Analysis,,,ISSTA 2014,,Association for Computing Machinery,,,,,,,"Mutation analysis evaluates a testing technique by measur- ing how well it detects seeded faults (mutants). Mutation analysis is hampered by inherent scalability problems — a test suite is executed for each of a large number of mutants. Despite numerous optimizations presented in the literature, this scalability issue remains, and this is one of the reasons why mutation analysis is hardly used in practice. Whereas most previous optimizations attempted to stati- cally reduce the number of executions or their computational overhead, this paper exploits information available only at run time to further reduce the number of executions. First, state infection conditions can reveal — with a single test execution of the unmutated program — which mutants would lead to a different state, thus avoiding unnecessary test executions. Second, determining whether an infected execution state propagates can further reduce the number of executions. Mutants that are embedded in compound expressions may infect the state locally without affecting the outcome of the compound expression. Third, those mutants that do infect the state can be partitioned based on the resulting infected state — if two mutants lead to the same infected state, only one needs to be executed as the result of the other can be inferred. We have implemented these optimizations in the Major mu- tation framework and empirically evaluated them on 14 open source programs. The optimizations reduced the mutation analysis time by 40% on average.",,"software testing, Mutation analysis, dynamic analysis",,,10.1145/2610384.2610388
6,,Kracht2014,"Kracht, Jeshua S.; Petrovic, Jacob Z.; Walcott-Justice, Kristen R.",Empirically Evaluating the Quality of Automatically Generated and Manually Written Test Suites,,,,Oct,256-265,2014,,,,2014 14th International Conference on Quality Software,,,,,,,,,,,,"The creation, execution, and maintenance of tests are some of the most expensive tasks in software development. To help reduce the cost, automated test generation tools can be used to assist and guide developers in creating test cases. Yet, the tests that automated tools produce range from simple skeletons to fully executable test suites, hence their complexity and quality vary. This paper compares the complexity and quality of test suites created by sophisticated automated test generation tools to that of developer-written test suites. The empirical study in this paper examines ten real-world programs with existing test suites and applies two state-of-the-art automated test generation tools. The study measures the resulting test suite quality in terms of code coverage and fault-finding capability. On average, manual tests covered 31.5% of the branches while the automated tools covered 31.8% of the branches. In terms of mutation score, the tests generated by automated tools had an average mutation score of 39.8% compared to the average mutation score of 42.1% for manually written tests. Even though automatically created tests often contain more lines of source code than those written by developers, this paper's empirical results reveal that test generation tools can provide value by creating high quality test suites while reducing the cost and effort needed for testing.",,Manuals;Complexity theory;Software;Testing;Writing;Standards;Java,,,10.1109/QSIC.2014.33
7,,Li2014,"Li, Kaituo; Reichenbach, Christoph; Csallner, Christoph; Smaragdakis, Yannis",Residual Investigation: Predictive and Precise Bug Detection,ACM Trans. Softw. Eng. Methodol.,24,2,December,,2014,"New York, NY, USA",,https://doi.org/10.1145/2656201,,,,,,Association for Computing Machinery,,,,,,,"We introduce the concept of residual investigation for program analysis. A residual investigation is a dynamic check installed as a result of running a static analysis that reports a possible program error. The purpose is to observe conditions that indicate whether the statically predicted program fault is likely to be realizable and relevant. The key feature of a residual investigation is that it has to be much more precise (i.e., with fewer false warnings) than the static analysis alone, yet significantly more general (i.e., reporting more errors) than the dynamic tests in the program's test suite that are pertinent to the statically reported error. That is, good residual investigations encode dynamic conditions that, when considered in conjunction with the static error report, increase confidence in the existence or severity of an error without needing to directly observe a fault resulting from the error.We enhance the static analyzer FindBugs with several residual investigations appropriately tuned to the static error patterns in FindBugs, and apply it to nine large open-source systems and their native test suites. The result is an analysis with a low occurrence of false warnings (false positives) while reporting several actual errors that would not have been detected by mere execution of a program's test suite.",,"False warnings, existing test cases, RFBI",,,10.1145/2656201
6,9781450326452,Mirzaaghaei2014,"Mirzaaghaei, Mehdi; Mesbah, Ali",DOM-Based Test Adequacy Criteria for Web Applications,,,,,71–81,2014,"New York, NY, USA",,https://doi.org/10.1145/2610384.2610406,Proceedings of the 2014 International Symposium on Software Testing and Analysis,,,ISSTA 2014,,Association for Computing Machinery,,,,,,,"To assess the quality of web application test cases, web developers currently measure code coverage. Although code coverage has traditionally been a popular test adequacy criterion, we believe it alone is not adequate for assessing the quality of web application test cases. We propose a set of novel DOM-based test adequacy criteria for web applications. These criteria aim at measuring coverage at two granularity levels, (1) the percentage of DOM states and transitions covered in the total state space of the web application under test, and (2) the percentage of elements covered in each particular DOM state. We present a technique and tool, called DomCovery, which automatically extracts and measures the proposed adequacy criteria and generates a visual DOM coverage report. Our evaluation shows that there is no correlation between code coverage and DOM coverage. A controlled experiment illustrates that participants using DomCovery completed coverage related tasks 22% more accurately and 66% faster.",,"web applications, coverage, Test adequacy criteria, DOM",,,10.1145/2610384.2610406
6,9781450327565,Yao2014,"Yao, Xiangjuan; Harman, Mark; Jia, Yue",A Study of Equivalent and Stubborn Mutation Operators Using Human Analysis of Equivalence,,,,,919–930,2014,"New York, NY, USA",,https://doi.org/10.1145/2568225.2568265,Proceedings of the 36th International Conference on Software Engineering,,,ICSE 2014,,Association for Computing Machinery,,,,,,,"Though mutation testing has been widely studied for more than thirty years, the prevalence and properties of equivalent mutants remain largely unknown. We report on the causes and prevalence of equivalent mutants and their relationship to stubborn mutants (those that remain undetected by a high quality test suite, yet are non-equivalent). Our results, based on manual analysis of 1,230 mutants from 18 programs, reveal a highly uneven distribution of equivalence and stubbornness. For example, the ABS class and half UOI class generate many equivalent and almost no stubborn mutants, while the LCR class generates many stubborn and few equivalent mutants. We conclude that previous test effectiveness studies based on fault seeding could be skewed, while developers of mutation testing tools should prioritise those operators that we found generate disproportionately many stubborn (and few equivalent) mutants.",,"Mutation Testing, Stubborn Mutant, Equivalent Mutant",,,10.1145/2568225.2568265
7,,Bokil2015,"Bokil, Prasad; Krishnan, Padmanabhan; Venkatesh, R.",Achieving Effective Test Suites for Reactive Systems Using Specification Mining and Test Suite Reduction Techniques,SIGSOFT Softw. Eng. Notes,40,1,February,1–8,2015,"New York, NY, USA",,https://doi.org/10.1145/2693208.2693226,,,,,,Association for Computing Machinery,,,,,,,"Failures in reactive embedded systems are often unacceptable. Moreover, effective testing of such systems to detect potential critical failures is a difficult task.We present an automated black box test suite generation technique for reactive systems. The technique is based on dynamic mining of specifications, in form of a finite state machine (FSM), from initial runs. The set of test cases thus produced contain several redundant test cases, many of which are eliminated by a simple greedy test suite reduction algorithm to give the final test suite. The effectiveness of tests generated by our technique was evaluated using five case studies from the reactive embedded domain. Results indicate that a test suite generated by our technique is promising in terms of effectiveness and scalability. While the test suite reduction algorithm removes redundant test cases, the change in effectiveness of test suites due to this reduction is examined in the experimentation.We present our specification mining based test suite generation technique, the test suite reduction technique and results on industrial case studies.",,"test suite reduction, specification mining, black box testing",,,10.1145/2693208.2693226
6,9781450336208,Clapp2015,"Clapp, Lazaro; Anand, Saswat; Aiken, Alex",Modelgen: Mining Explicit Information Flow Specifications from Concrete Executions,,,,,129–140,2015,"New York, NY, USA",,https://doi.org/10.1145/2771783.2771810,Proceedings of the 2015 International Symposium on Software Testing and Analysis,,,ISSTA 2015,,Association for Computing Machinery,,,,,,,"We present a technique to mine explicit information flow specifications from concrete executions. These specifications can be consumed by a static taint analysis, enabling static analysis to work even when method definitions are missing or portions of the program are too difficult to analyze statically (e.g., due to dynamic features such as reflection). We present an implementation of our technique for the Android platform. When compared to a set of manually written specifications for 309 methods across 51 classes, our technique is able to recover 96.36% of these manual specifications and produces many more correct annotations that our manual models missed. We incorporate the generated specifications into an existing static taint analysis system, and show that they enable it to find additional true flows. Although our implementation is Android-specific, our approach is applicable to other application frameworks.",,"information flow, specification mining, Dynamic analysis",,,10.1145/2771783.2771810
6,,Daoudagh2015,"Daoudagh, Said; Lonetti, Francesca; Marchetti, Eda",Assessment of Access Control Systems Using Mutation Testing,,,,,8–13,2015,"Florence, Italy",,,Proceedings of the First International Workshop on TEchnical and LEgal Aspects of Data PRIvacy,,,TELERISE '15,,IEEE Press,,,,,,,"In modern pervasive applications, it is important to validate access control mechanisms that are usually defined by means of the standard XACML language. Mutation analysis has been applied on access control policies for measuring the adequacy of a test suite. In this paper, we present a testing framework aimed at applying mutation analysis at the level of the Java based policy evaluation engine. A set of Java based mutation operators is selected and applied to the code of the Policy Decision Point (PDP). A first experiment shows the effectiveness of the proposed framework in assessing the fault detection of XACML test suites and confirms the efficacy of the application of code-based mutation operators to the PDP.",,,,,10.1109/telerise.2015.10
7,,Falah2015,"Falah, B.; Akour, M.; Marchoum, N. E.",Testing patterns in action: Designing a test-pattern-based suite,International Review on Computers and Software,10,5,,489-494,2015,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938498296&doi=10.15866%2firecos.v10i5.5963&partnerID=40&md5=077e9f4fde9e21a4db49d19865f63ac6,,,,,,,,,,,,,"Design patterns constitute a revolution in the field of software engineering, as they emphasize the importance of reuse and its impact on the software process and the software product quality. A special type of design patterns is testing patters; these can be used in the testing phase to reduce redundancy, save time and resources and provide an effective reuse mechanism for more coverage and better quality of service at the same time. Many design patterns exist to test different aspects of the implemented functionality separately. However, in this paper, we will suggest a new concept, which consists of incorporating different testing patterns into the same test suite to test different aspects through running one single test exactly once. It will also allow the users to track the performance of their test suite quality attributes using a simple representation. © 2015, Praise Worthy Prize S.r.l. - All rights reserved.",,,,,10.15866/irecos.v10i5.5963
7,,Fawaz2015,"Fawaz, K.; Zaraket, F.; Masri, W.; Harkous, H.",PBCOV: a property-based coverage criterion,Software Quality Journal,23,1,,171-202,2015,,cited By 4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924222369&doi=10.1007%2fs11219-014-9237-3&partnerID=40&md5=db439c6545c725201184a9ba7af9d6d4,,,,,,,,,,,,,"Coverage criteria aim at satisfying test requirements and compute metrics values that quantify the adequacy of test suites at revealing defects in programs. Typically, a test requirement is a structural program element, and the coverage metric value represents the percentage of elements covered by a test suite. Empirical studies show that existing criteria might characterize a test suite as highly adequate, while it does not actually reveal some of the existing defects. In other words, existing structural coverage criteria are not always sensitive to the presence of defects. This paper presents PBCOV, a Property-Based COVerage criterion, and empirically demonstrates its effectiveness. Given a program with properties therein, static analysis techniques, such as model checking, leverage formal properties to find defects. PBCOV is a dynamic analysis technique that also leverages properties and is characterized by the following: (a) It considers the state space of first-order logic properties as the test requirements to be covered; (b) it uses logic synthesis to compute the state space; and (c) it is practical, i.e., computable, because it considers an over-approximation of the reachable state space using a cut-based abstraction.We evaluated PBCOV using programs with test suites comprising passing and failing test cases. First, we computed metrics values for PBCOV and structural coverage using the full test suites. Second, in order to quantify the sensitivity of the metrics to the absence of failing test cases, we computed the values for all considered metrics using only the passing test cases. In most cases, the structural metrics exhibited little or no decrease in their values, while PBCOV showed a considerable decrease. This suggests that PBCOV is more sensitive to the absence of failing test cases, i.e., it is more effective at characterizing test suite adequacy to detect defects, and at revealing deficiencies in test suites. © 2014, Springer Science+Business Media New York.",,"C (programming language); Computer circuits; Defects; Logic Synthesis; Model checking; State space methods; Static analysis; Structural analysis; Structural properties; Testing, Analysis techniques; Coverage criteria; Dynamic analysis techniques; First order logic; Property-based; Reachability analysis; Structural metrics; Structural programs, Software testing",,,10.1007/s11219-014-9237-3
10,,Felbinger2015,"Felbinger, H.",Test suite quality assessment using model inference techniques,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation, ICST 2015 - Proceedings",,,,,2015,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935093475&doi=10.1109%2fICST.2015.7102617&partnerID=40&md5=6aae7422e3dc3fd266a7744612bbebd2,,,,,,,,,,,,,"To state whether a System Under Test is sufficiently tested requires an assessment of the test suite quality. Existing methods to assess the quality of a test suite either are based on the structure of an implementation or determine the quality using mutation score. In this paper we introduce a method, which is based on inductive inference to assess the quality of a test suite and propose a method to augment a test suite depending on the quality assessment result. In this paper we provide a short glimpse on our objectives and show preliminary results of model inference of a test suite. © 2015 IEEE.",,"Testing; Verification, Inductive inference; Model inference; Mutation score; Quality assessment; System under test, Software testing",,,10.1109/ICST.2015.7102617
7,,Gligoric2015,"Gligoric, Milos; Groce, Alex; Zhang, Chaoqiang; Sharma, Rohan; Alipour, Mohammad Amin; Marinov, Darko",Guidelines for Coverage-Based Comparisons of Non-Adequate Test Suites,ACM Trans. Softw. Eng. Methodol.,24,4,September,,2015,"New York, NY, USA",,https://doi.org/10.1145/2660767,,,,,,Association for Computing Machinery,,,,,,,"A fundamental question in software testing research is how to compare test suites, often as a means for comparing test-generation techniques that produce those test suites. Researchers frequently compare test suites by measuring their coverage. A coverage criterion C provides a set of test requirements and measures how many requirements a given suite satisfies. A suite that satisfies 100% of the feasible requirements is called C-adequate. Previous rigorous evaluations of coverage criteria mostly focused on such adequate test suites: given two criteria C and C′, are C-adequate suites on average more effective than C′-adequate suites? However, in many realistic cases, producing adequate suites is impractical or even impossible.This article presents the first extensive study that evaluates coverage criteria for the common case of non-adequate test suites: given two criteria C and C′, which one is better to use to compare test suites? Namely, if suites T1, T2,…,Tn have coverage values c1, c2,…,cn for C and c1′, c2′,…,cn′ for C′, is it better to compare suites based on c1, c2,…,cn or based on c1′, c2′,…,cn′? We evaluate a large set of plausible criteria, including basic criteria such as statement and branch coverage, as well as stronger criteria used in recent studies, including criteria based on program paths, equivalence classes of covered statements, and predicate states. The criteria are evaluated on a set of Java and C programs with both manually written and automatically generated test suites. The evaluation uses three correlation measures. Based on these experiments, two criteria perform best: branch coverage and an intraprocedural acyclic path coverage. We provide guidelines for testing researchers aiming to evaluate test suites using coverage criteria as well as for other researchers evaluating coverage criteria for research use.",,"non-adequate test suites, Coverage criteria",,,10.1145/2660767
6,,Hauptmann2015,"Hauptmann, Benedikt; Juergens, Elmar; Woinke, Volkmar",Generating Refactoring Proposals to Remove Clones from Automated System Tests,,,,,115–124,2015,"Florence, Italy",,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,,,ICPC '15,,IEEE Press,,,,,,,"Automated system tests often have many clones, which make them complex to understand and costly to maintain. Unfortunately, removing clones is challenging as there are numerous possibilities of how to refactor them to reuse components such as subroutines. Additionally, clones often overlap partly which makes it particularly difficult to decide which parts to extract. If done wrongly, reuse potential is not leveraged optimally and structures between tests and reuse components will become unnecessarily complex. We present a method to support test engineers in extracting overlapping clones. Using grammar inference algorithms, we generate a refactoring proposal that demonstrates test engineers how overlapping clones can be extracted. Furthermore, we visualize the generated refactoring proposal to make it easily understandable for test engineers. An industrial case study demonstrates that our approach helps test engineers to gain information of the reuse potential of test suites and guides them to perform refactorings.",,"test clones, refactoring, automated testing",,,10.1109/icpc.2015.20
10,,Horvath2015,"Horváth, F.; Vancsics, B.; Vidács, L.; Beszédes, Á.; Tengeri, D.; Gergely, T.; Gyimóthy, T.",Test suite evaluation using code coverage based metrics,CEUR Workshop Proceedings,1525,,,46-60,2015,,cited By 7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962535014&partnerID=40&md5=0afbed6c96650e33de141304e883885a,,,,,,,,,,,,,"Regression test suites of evolving software systems are often crucial to maintaining software quality in the long term. They have to be effective in terms of detecting faults and helping their localization. However, to gain knowledge of such capabilities of test suites is usually difficult. We propose a method for deeper understanding of a test suite and its relation to the program code it is intended to test. The basic idea is to decompose the test suite and the program code into coherent logical groups which are easier to analyze and understand. Coverage and partition metrics are then extracted directly from code coverage information to characterize a test suite and its constituents. We also use heat-map tables for test suite assessment both at the system level and at the level of logical groups. We employ these metrics to analyze and evaluate the regression test suite of the WebKit system, an industrial size browser engine with an extensive set of 27,000 tests.",,"Codes (symbols); Computational linguistics; Computer software; Computer software selection and evaluation; Regression analysis; Testing, Code coverage; Industrial size; Regression testing; Regression tests; Software Quality; Software systems; System levels; Test metrics, Software testing",,,
6,,Khalili2015,"Khalili, Ali; Narizzano, Massimo; Tacchella, Armando; Giunchiglia, Enrico",Automatic Test-Pattern Generation for Grey-Box Programs,,,,,33–37,2015,"Florence, Italy",,,Proceedings of the 10th International Workshop on Automation of Software Test,,,AST '15,,IEEE Press,,,,,,,"In the context of structural testing, automatic test-pattern generation (ATPG) may fail to provide suites covering 100% of the testing requirements for grey-box programs, i.e., applications wherein source code is available for some parts (white-box), but not for others (black-box). Furthermore, test suites based on abstract models may elicit behaviors on the actual program that diverge from the intended ones. In this paper, we present a new ATPG methodology to reduce divergence without increasing manual effort. This is achieved by (i) learning models of black-box components as finite-state machines, and (ii) composing the learnt models with the white-box components to generate test-suites for the grey-box program. Experiments with a prototypical implementation of our methodology show that it yields measurable improvements over two comparable state-of-the-art solutions.",,,,,10.1109/ast.2015.14
